Genus,species,ANMH  tag,Forehead,Cheek left,Cheek right,Chest L,Chest R,Back head,Back Shoulder,Back Centre,photo no.,,note,,,General notes,,,,,,,
,,,,,,,,,,,,,,,,Forehead,Centre,,,,Date,11th April 2025,
Papio,hamadryas,19550,0081,0082,0083,0084,0085,0086,0087,0088,7671,,,,,Face left,Cheek,,,,Location,ANMH NYC,
Papio,hamadryas,80064,0089,0090,0091,0092,0093,0094,0095,0096,7672,,,,,Face right,Cheek,,,,,,
Papio,hamadryas,70224,0097,0098,0099,0000,0001,0002,0003,0004,7673,,,,,Chest,high center,,,,,,
Papio,hamadryas,100331,0005,0006,0007,0008,0009,0010,0011,0012,7674,7676,,,,Back head,between ears,,,,,,
Papio,hamadryas,90418,0013,0014,0015,0016,0017,0018,0020,0021,7677,7678,really light / blonde,,,Between shoulders,between shoulders,,,,,,
Papio,hamadryas,90419,0023,0024,0025,0026,0027,0028,0029,0030,7682,,,,,,,,,,,,
Papio,anubis,35464,0031,0032,0033,0034,0035,0036,0037,0038,7683,,,,,,,,,,,,
Papio,anubis,80011,0039,0040,0042,0043,0044,0045,0046,0047,7684,,,,,,,,,,,,
Papio,anubis,90414,0048,0049,0050,0051,0052,0053,0054,0055,7685,,,,,,,,,,,,
Papio,anubis,150152,0056,0057,0058,0059,0060,0061,0062,0063,7686,,,,,,,,,,,,
Papio,anubis,52671,0064,0065,0066,0067,0068,0069,0070,0071,7687,,,,,,,,,,,,
Papio,anubis,82185,0072,0073,0074,0075,0076,0077,0078,0079,7688,7689,adult male from Sudan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,thanks to Marisa,,,,,,,,,,
